subevent_id,results_url,name,series,year
2CC19A9F-A5C5-E611-9411-005056951BF1,https://www.ironman.com/im703-japan-results,Japan,IRONMAN-70.3,2017
DDD8F560-B4EA-E511-940C-005056951BF1,https://www.ironman.com/im703-japan-results,Japan,IRONMAN-70.3,2016
65CE3764-E0F3-4F68-9EF8-9810CF738781,https://www.ironman.com/im703-japan-results,Japan,IRONMAN-70.3,2015
F94852B5-7A15-E311-9EC7-005056956277,https://www.ironman.com/im703-japan-results,Japan,IRONMAN-70.3,2014
E6616994-3055-E211-B7A2-005056956277,https://www.ironman.com/im703-japan-results,Japan,IRONMAN-70.3,2013
B717D0B1-4EAE-E111-80AE-005056956277,https://www.ironman.com/im703-japan-results,Japan,IRONMAN-70.3,2012
A501DC86-866F-4B5E-8315-ACC33C1ECB34,https://www.ironman.com/im703-oman-results,Oman,IRONMAN-70.3,2024
C200EDB9-C575-41CA-8ADE-297433B8FE11,https://www.ironman.com/im703-oman-results,Oman,IRONMAN-70.3,2023
C14C594A-A71D-4AB9-BDDB-E273C429C824,https://www.ironman.com/im703-oman-results,Oman,IRONMAN-70.3,2022
6F4C381E-8C66-E911-A97A-000D3A36478D,https://www.ironman.com/im703-oman-results,Oman,IRONMAN-70.3,2020
1F35BEB2-0895-E811-9421-005056951BF1,https://www.ironman.com/im703-oman-results,Oman,IRONMAN-70.3,2019
52AEAD93-97A4-4674-9BA0-25E84698EBFB,https://ironman.com/im703-subic-bay-philippines-results,Subic Bay,IRONMAN-70.3,2023
20CFE66C-5740-432A-89FA-62098B9C1E52,https://ironman.com/im703-subic-bay-philippines-results,Subic Bay,IRONMAN-70.3,2022
0AF5E6B4-39BB-E811-A967-000D3A37468C,https://ironman.com/im703-subic-bay-philippines-results,Subic Bay,IRONMAN-70.3,2019
9AE1F88B-1EF6-E711-941C-005056951BF1,https://ironman.com/im703-subic-bay-philippines-results,Subic Bay,IRONMAN-70.3,2018
AA61825F-6B86-E611-9410-005056951BF1,https://ironman.com/im703-subic-bay-philippines-results,Subic Bay,IRONMAN-70.3,2017
ACFA085F-2969-E511-9409-005056951BF1,https://ironman.com/im703-subic-bay-philippines-results,Subic Bay,IRONMAN-70.3,2016
E7600891-A2BE-E411-9400-005056951BF1,https://ironman.com/im703-subic-bay-philippines-results,Subic Bay,IRONMAN-70.3,2015
5CA0D730-C4A2-4432-9225-D956EA545EAC,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2023
CD87739B-129D-4D8E-A733-2B132D487FA4,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2022
06CFBE49-A6F1-4901-B4C7-1B7C4508B93F,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2021
6790952F-5831-EA11-A810-000D3A5A1477,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2020
86497C81-8D2F-E911-A970-000D3A37468C,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2019
34E055B2-5117-E811-941D-005056951BF1,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2018
FF3ED31A-C7D3-E611-9412-005056951BF1,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2017
D1AD99B8-2083-E511-9409-005056951BF1,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2016
0BD942C4-C15E-E411-93FA-005056951BF1,https://www.ironman.com/im703-turkey-results,Türkiye,IRONMAN-70.3,2015
